"file","localStorageKeys","RTS functions used","PITWALL modules","notes"
"core.js","rts.settings.v1","getSettings; saveSettings; safeLoadJSON; safeSaveJSON; pickDriveFiles; confirmPrompt; openWithTab; initTriPaneResizers","core infra","Central RTS helpers and Drive picker; foundation for offline/sync shim and shared UI helpers."
"topnav.js","(reads all rts.* keys)","openPage; openWithTab; safeLoadJSON; safeSaveJSON; confirmPrompt","core infra","Export/Import UI for rts.* keys; useful for backups and migration."
"settings.html","rts.settings.v1; rts.settings.ui.v1","getSettings; saveSettings; pickDriveFiles; resetDriveToken; safeSaveJSON; safeLoadJSON","security; integrations; users/suppliers","Contains global configuration including Drive picker, suppliers, locations and roles — high impact for PITWALL."
"events.html","rts.events.v4; rts.events.ui.v4; rts.events.panes.v4","getSettings; safeLoadJSON; safeSaveJSON; pickDriveFiles; openWithTab","logistics; virtual truck; manifest; regulatory","Primary scheduling/event model; target for runbook instantiation and truck manifests."
"tasks.html","rts.tasks.v4; rts.tasks.ui.v4","safeLoadJSON; safeSaveJSON; confirmPrompt; pickDriveFiles; getQueryParam; openWithTab","operations; engine lifing; work orders","Task/Work-order flows — quick-win area for lifing and offline task creation."
"inventory.html","rts.inventory.v4; rts.inventory.ui.v4","safeLoadJSON; safeSaveJSON; confirmPrompt; getSettings","inventory; procurement; homologation","Inventory master: parts, locations, counts. Key for auto-reorder and homologation checks."
"load.html","rts.load.units.v1; rts.load.crates.v1; rts.load.plans.v1; rts.load.ui.v1","safeLoadJSON; safeSaveJSON; initTriPaneResizers","logistics; virtual truck; manifest","Truck / Trailer manifest and crate/unit definitions — basis for ATA Carnet export and truck vs warehouse state."
"runbooks.html","rts.runbooks.v1","openWithTab; safeLoadJSON; safeSaveJSON; confirmPrompt","operations; events","Runbooks scaffold (templates → instantiate events). Good for templating ops procedures."
"assets.html","rts.assets.v4; rts.assets.ui.v4","safeLoadJSON; safeSaveJSON; initTriPaneResizers","assets; component lifing","Asset master for chassis/engines/tyres. Candidate for QR/ID binding and lifing records."
"service.html","rts.service.v1; rts.service.ui.v1","safeLoadJSON; safeSaveJSON; confirmPrompt","repair queue; engineering","Service/repair tracking; links to parts consumption and repair queue generation."
"incidents.html","rts.incidents.v4; rts.incidents.ui.v4","safeLoadJSON; safeSaveJSON; pickDriveFiles; confirmPrompt","safety; crash damage","Accident/incident logs — should trigger repair and billing flows."
"invoice.html","rts.invoices.v1; rts.invoice.customers.v1; rts.invoice.ui.v1","safeLoadJSON; safeSaveJSON; getSettings","finance; billing","Driver billing flows and invoices; tie to consumable usage and crash costs."
"expenses.html","rts.expenses.v4; rts.expenses.ui.v4","safeLoadJSON; safeSaveJSON; pickDriveFiles; confirmPrompt","finance","Expenses capture; complementary to invoices and POs."
"integrations.html","rts.integrations.jobs.v4; rts.integrations.ui.v4","safeLoadJSON; safeSaveJSON; confirmPrompt","integrations; calendar; drive","Holds integration jobs; useful for syncing calendars / external APIs."
"drivers.html","(uses RTS.getSettings().drivers)","getSettings; initTriPaneResizers","HR; roster","Driver master data — ties to billing, rostering and event crew selection."
"forecast.html","rts.forecast.v1; rts.forecast.ui.v1","safeLoadJSON; safeSaveJSON; getSettings","logistics; procurement","Forecasting dependencies on inventory and events."
"performance.html","rts.performance.v4; rts.performance.ui.v4","safeLoadJSON; safeSaveJSON; getSettings","engineering; component lifing","Session/performance logs; can link to engine hours and lifing analytics."
"config.js","(global config)","(none)","core infra","Runtime config loaded before core.js (API keys, feature toggles)"
"style.css","(n/a)","(n/a)","UX","Global styles — affected by 'dirty hands' UI changes."
